,0,1,2,3,4,5,f_name
120,278.39963840612853,55,605,937,A,7,8345
121,279.1669471758518,51,1250,752,B,3,8368
122,292.5114475188658,48,1076,826,A,0,8768
123,293.7791750514521,49,807,750,B,1,8806
124,294.64656757374803,49,654,782,A,1,8832
125,303.2204090441345,48,950,747,B,0,9089
126,304.5882203292934,57,1787,908,A,9,9130
127,305.35552909901674,49,733,753,B,1,9153
128,311.99441801966617,48,999,749,B,0,9352
129,313.59575806082785,56,729,928,A,8,9400
130,314.39642808140866,49,729,746,B,1,9424
131,322.5032120397896,48,955,741,B,0,9667
132,324.2046358335239,57,1591,919,A,9,9718
133,325.4056408643952,57,1108,736,B,9,9754
134,326.70672964783904,55,550,915,A,7,9793
135,327.77428967528016,49,746,752,B,1,9825
136,328.57495969586097,49,582,788,A,1,9849
137,329.80932597758976,55,720,733,B,7,9886
138,330.44318974388295,54,1424,842,A,6,9905
139,340.41820375028584,48,1016,744,B,0,10204
140,342.3531563000229,55,439,916,A,7,10262
141,342.8535750628859,49,825,741,B,1,10277
142,343.7876900868969,50,1102,801,A,2,10305
143,344.1880250971873,57,1148,730,B,9,10317
144,344.855250114338,54,1326,833,A,6,10337
145,345.355668877201,54,1156,744,B,6,10352
146,346.15633889778184,54,1156,744,B,6,10376
147,356.66513291790534,48,1002,816,A,0,10691
148,357.9662217013492,51,1149,756,B,3,10730
149,359.23394923393556,57,1680,952,A,9,10768
150,361.2022630345301,49,735,752,B,1,10827
151,367.00712068374116,48,943,742,B,0,11001
152,368.741905728333,57,1739,917,A,9,11053
153,369.64265950148643,49,801,749,B,1,11080
154,370.4099682712097,49,562,787,A,1,11103
155,379.11725474502634,48,1089,821,A,0,11364
156,380.75195603704555,55,791,733,B,7,11413
157,381.35245855248115,52,446,827,B,4,11431
158,382.18648982391954,49,646,755,B,1,11456
159,383.6877461125086,57,1677,950,A,9,11501
160,384.7219448890922,57,1164,734,B,9,11532
161,386.25656242853876,57,1741,948,A,9,11578
162,387.0238711982621,50,885,749,B,2,11601
163,394.69695889549513,48,1032,741,B,0,11831
164,396.36502143837185,55,481,914,A,7,11881
165,396.998885204665,49,776,743,B,1,11900
166,397.8996389778184,57,1766,933,A,9,11927
167,398.9004765035445,57,1142,735,B,9,11957
168,400.30164903956097,57,1541,909,A,9,11999
169,401.13568031099936,51,1154,751,B,3,12024
170,409.7095217813858,48,1011,816,A,0,12281
171,411.74455808369544,53,1002,745,B,5,12342
172,411.844641836268,49,660,784,A,1,12345
173,412.7120343585639,49,793,752,B,1,12371
174,414.0798456437229,57,1518,917,A,9,12412
175,414.7470706608736,57,1155,739,B,9,12432
176,415.61446318316945,51,1168,792,A,3,12458
177,416.48185570546536,50,976,748,B,2,12484
178,417.2158032243311,53,1053,823,A,5,12506
179,427.55779099016695,53,955,753,B,5,12816
180,427.5911522410245,54,955,753,B,6,12817
181,428.4919060141779,51,1401,800,A,3,12844
182,429.6929110450492,55,724,734,B,7,12880
183,430.6603873199177,55,532,903,A,7,12909
184,431.3276123370684,51,1122,759,B,3,12929
185,432.361811113652,51,1301,796,A,3,12960
186,433.86306740224103,56,995,736,B,8,13005
187,435.0974336839698,55,531,957,A,7,13042
188,447.64126400640293,48,1077,828,A,0,13418
